"Местное время в Москве (центр, Балчуг)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.07.2021 03:00";"18.5";"755.8";"766.9";"";"55";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"26.07.2021 00:00";"19.5";"755.5";"766.5";"";"53";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"25.07.2021 21:00";"21.8";"754.7";"765.6";"";"39";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"25.4";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.1";"Осадков нет";"12";"";"";"";"";
"23.07.2021 00:00";"18.3";"746.3";"757.3";"";"49";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.4";"";"";"";"";"";"";
"22.07.2021 21:00";"19.6";"746.5";"757.4";"";"40";"Ветер, дующий с западо-северо-запада";"2";"";"";"60%.";" ";"";"";"";"22.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"5.7";"Осадков нет";"12";"";"";"";"";
"22.07.2021 18:00";"21.2";"746.5";"757.3";"";"31";"Ветер, дующий с северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"3.5";"Осадков нет";"12";"";"";"";"";
"22.07.2021 15:00";"22.9";"746.8";"757.5";"";"28";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"3.6";"";"";"";"";"";"";
"22.07.2021 12:00";"21.1";"746.9";"757.7";"";"33";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.1";"";"";"";"";"";"";
"22.07.2021 09:00";"19.0";"746.9";"757.9";"";"44";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"15.4";"";"";"";"";"";"";"10.0";"6.3";"0.3";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"14.0";"";"";
"22.07.2021 06:00";"16.1";"746.3";"757.3";"";"63";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"15.4";"";"";"";"";"";"";"10.0";"9.1";"0.3";"12";"";"";"";"";
"22.07.2021 03:00";"16.5";"745.6";"756.5";"";"68";"Ветер, дующий с северо-северо-запада";"1";"";"";"20–30%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"10.5";"";"";"";"";"";"";
"22.07.2021 00:00";"18.3";"745.3";"756.1";"";"61";"Ветер, дующий с севера";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"10.0";"10.5";"";"";"";"";"";"";
"21.07.2021 21:00";"20.4";"744.7";"755.5";"";"53";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"26.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"10.4";"Осадков нет";"12";"";"";"";"";
"21.07.2021 18:00";"24.9";"744.0";"754.6";"";"33";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"7.3";"Осадков нет";"12";"";"";"";"";
"21.07.2021 15:00";"25.1";"744.7";"755.4";"";"34";"Ветер, дующий с западо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"8.1";"";"";"";"";"";"";
"21.07.2021 12:00";"25.4";"745.4";"756.0";"";"37";"Ветер, дующий с западо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"9.7";"";"";"";"";"";"";
